,SampleID,LTER_Site,Reef_Type,CoralID,Date,Month,Year,Date_Long,Date_Longer,Location
1,0_FOR_ACR_50_M19,0,FOR,50,M19,March,2019,Mar-19,March 2019 (During),North
2,0_BAK_ACR_53_M19,0,BAK,53,M19,March,2019,Mar-19,March 2019 (During),North
3,0_BAK_ACR_66_M19,0,BAK,66,M19,March,2019,Mar-19,March 2019 (During),North
4,1_BAK_ACR_57_M19,1,BAK,57,M19,March,2019,Mar-19,March 2019 (During),North
5,1_BAK_ACR_64_M19,1,BAK,64,M19,March,2019,Mar-19,March 2019 (During),North
6,1_BAK_ACR_94_M19,1,BAK,94,M19,March,2019,Mar-19,March 2019 (During),North
7,2_BAK_ACR_108_M19,2,BAK,108,M19,March,2019,Mar-19,March 2019 (During),North
8,2_BAK_ACR_115_M19,2,BAK,115,M19,March,2019,Mar-19,March 2019 (During),North
9,2_BAK_ACR_117_M19,2,BAK,117,M19,March,2019,Mar-19,March 2019 (During),North
10,2_BAK_ACR_118_M19,2,BAK,118,M19,March,2019,Mar-19,March 2019 (During),North
11,2_BAK_ACR_131_M19,2,BAK,131,M19,March,2019,Mar-19,March 2019 (During),North
12,2_BAK_ACR_134_M19,2,BAK,134,M19,March,2019,Mar-19,March 2019 (During),North
13,1_FOR_ACR_148_M19,1,FOR,148,M19,March,2019,Mar-19,March 2019 (During),North
14,5_5_BAK_ACR_180_M19,5.5,BAK,180,M19,March,2019,Mar-19,March 2019 (During),West
15,5_5_BAK_ACR_188_M19,5.5,BAK,188,M19,March,2019,Mar-19,March 2019 (During),West
16,3_BAK_ACR_201_M19,3,BAK,201,M19,March,2019,Mar-19,March 2019 (During),East
17,4_BAK_ACR_204_M19,4,BAK,204,M19,March,2019,Mar-19,March 2019 (During),East
18,3_5_BAK_ACR_208_M19,3.5,BAK,208,M19,March,2019,Mar-19,March 2019 (During),East
19,3_5_BAK_ACR_209_M19,3.5,BAK,209,M19,March,2019,Mar-19,March 2019 (During),East
20,4_BAK_ACR_254_M19,4,BAK,254,M19,March,2019,Mar-19,March 2019 (During),East
21,3_5_BAK_ACR_273_M19,3.5,BAK,273,M19,March,2019,Mar-19,March 2019 (During),East
22,4_BAK_ACR_276_M19,4,BAK,276,M19,March,2019,Mar-19,March 2019 (During),East
23,3_5_BAK_ACR_279_M19,3.5,BAK,279,M19,March,2019,Mar-19,March 2019 (During),East
24,3_BAK_ACR_432_M19,3,BAK,432,M19,March,2019,Mar-19,March 2019 (During),East
25,0_BAK_ACR_53_A19,0,BAK,53,A19,August,2019,Aug-19,August 2019 (After),North
26,1_BAK_ACR_64_A19,1,BAK,64,A19,August,2019,Aug-19,August 2019 (After),North
27,1_BAK_ACR_94_A19,1,BAK,94,A19,August,2019,Aug-19,August 2019 (After),North
28,2_BAK_ACR_108_A19,2,BAK,108,A19,August,2019,Aug-19,August 2019 (After),North
29,2_BAK_ACR_115_A19,2,BAK,115,A19,August,2019,Aug-19,August 2019 (After),North
30,2_BAK_ACR_117_A19,2,BAK,117,A19,August,2019,Aug-19,August 2019 (After),North
31,2_BAK_ACR_131_A19,2,BAK,131,A19,August,2019,Aug-19,August 2019 (After),North
32,2_BAK_ACR_134_A19,2,BAK,134,A19,August,2019,Aug-19,August 2019 (After),North
33,1_FOR_ACR_148_A19,1,FOR,148,A19,August,2019,Aug-19,August 2019 (After),North
34,5_5_BAK_ACR_180_A19,5.5,BAK,180,A19,August,2019,Aug-19,August 2019 (After),West
35,5_5_BAK_ACR_188_A19,5.5,BAK,188,A19,August,2019,Aug-19,August 2019 (After),West
36,3_BAK_ACR_201_A19,3,BAK,201,A19,August,2019,Aug-19,August 2019 (After),East
37,4_BAK_ACR_204_A19,4,BAK,204,A19,August,2019,Aug-19,August 2019 (After),East
