"","input","filtered","denoisedF","denoisedR","merged","nonchim","nometa","nobact","SampleID"
"0_FOR_ACR_50_M19",188193,159428,158965,159254,147504,123397,123397,123397,"0_FOR_ACR_50_M19"
"0_BAK_ACR_53_M19",303580,258194,257357,258017,245790,187189,187189,187189,"0_BAK_ACR_53_M19"
"0_BAK_ACR_66_M19",236284,196390,195700,196147,183259,135178,135173,135173,"0_BAK_ACR_66_M19"
"1_BAK_ACR_57_M19",2433,1201,1197,1193,1087,1087,1084,1084,"1_BAK_ACR_57_M19"
"1_BAK_ACR_64_M19",533470,446488,445402,445964,415892,308185,308181,308181,"1_BAK_ACR_64_M19"
"1_BAK_ACR_94_M19",191594,152664,152226,152422,140767,94091,94091,94091,"1_BAK_ACR_94_M19"
"2_BAK_ACR_108_M19",261466,219925,219465,219649,202319,155560,155557,155557,"2_BAK_ACR_108_M19"
"2_BAK_ACR_115_M19",182407,146973,146897,146852,144963,117729,90468,90468,"2_BAK_ACR_115_M19"
"2_BAK_ACR_117_M19",225163,192301,191610,191942,180064,118017,118017,118017,"2_BAK_ACR_117_M19"
"2_BAK_ACR_118_M19",265082,226125,225358,225746,212690,138214,138214,138214,"2_BAK_ACR_118_M19"
"2_BAK_ACR_131_M19",294867,248870,248259,248283,229631,164217,164217,164217,"2_BAK_ACR_131_M19"
"2_BAK_ACR_134_M19",222920,188685,188517,188581,181713,168050,168050,168050,"2_BAK_ACR_134_M19"
"1_FOR_ACR_148_M19",206266,167504,167258,166841,155700,118403,118403,118403,"1_FOR_ACR_148_M19"
"5_5_BAK_ACR_180_M19",196475,159836,159174,159560,145630,101564,101564,101564,"5_5_BAK_ACR_180_M19"
"5_5_BAK_ACR_188_M19",230465,192134,191614,191717,177274,125015,125015,125015,"5_5_BAK_ACR_188_M19"
"3_BAK_ACR_201_M19",235391,198596,198200,198125,182745,137248,137061,137061,"3_BAK_ACR_201_M19"
"4_BAK_ACR_204_M19",238588,198207,197304,197700,183148,124364,124364,124364,"4_BAK_ACR_204_M19"
"3_5_BAK_ACR_208_M19",226496,191317,190962,190834,174037,129244,129244,129244,"3_5_BAK_ACR_208_M19"
"3_5_BAK_ACR_209_M19",227703,188792,187832,188526,172321,121565,121565,121565,"3_5_BAK_ACR_209_M19"
"4_BAK_ACR_254_M19",248519,191687,190916,190953,175009,110863,110808,110808,"4_BAK_ACR_254_M19"
"3_5_BAK_ACR_273_M19",229590,188571,188113,188107,172518,118896,118896,118896,"3_5_BAK_ACR_273_M19"
"4_BAK_ACR_276_M19",235179,188914,188551,188448,176951,115448,115448,115448,"4_BAK_ACR_276_M19"
"3_5_BAK_ACR_279_M19",409214,344685,343638,344250,316635,241318,241318,241318,"3_5_BAK_ACR_279_M19"
"3_BAK_ACR_432_M19",182124,154876,154182,154405,141641,109837,109837,109837,"3_BAK_ACR_432_M19"
"0_BAK_ACR_53_A19",226811,195725,195187,195683,192170,187556,187556,187556,"0_BAK_ACR_53_A19"
"1_BAK_ACR_64_A19",198735,140298,140182,139981,137231,134672,134672,134672,"1_BAK_ACR_64_A19"
"1_BAK_ACR_94_A19",187680,157548,157365,157118,154256,143795,143795,143795,"1_BAK_ACR_94_A19"
"2_BAK_ACR_108_A19",115185,29783,29699,29741,29053,28637,28637,28637,"2_BAK_ACR_108_A19"
"2_BAK_ACR_115_A19",209134,155017,154710,154607,151554,96027,43550,43550,"2_BAK_ACR_115_A19"
"2_BAK_ACR_117_A19",203880,169079,168667,168756,164329,123299,123296,123296,"2_BAK_ACR_117_A19"
"2_BAK_ACR_131_A19",207009,176147,175731,175982,171420,146264,146261,146261,"2_BAK_ACR_131_A19"
"2_BAK_ACR_134_A19",191807,165172,165035,165130,163420,159977,159977,159977,"2_BAK_ACR_134_A19"
"1_FOR_ACR_148_A19",212581,161204,160527,160286,153519,108021,108021,108021,"1_FOR_ACR_148_A19"
"5_5_BAK_ACR_180_A19",190121,159250,158290,158953,146061,108204,108204,108204,"5_5_BAK_ACR_180_A19"
